task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Testing,Low,Mid,Other,High,10,1,2,20,7,16,False,1,False,3.82,0,1,0,0,3.79
Documentation,High,Senior,Java,Low,4,2,1,8,1,15,False,1,True,2.18,1,1,0,0,2.15
Code Review,High,Mid,JavaScript,Critical,1,2,1,2,3,10,True,0,True,5.09,0,1,0,1,0.74
Code Review,Medium,Mid,C++,Low,3,4,2,6,5,17,True,1,True,2.8,2,1,1,0,1.57
Bug Fix,Medium,Junior,Python,Critical,9,4,3,18,10,9,True,3,True,3.13,1,2,1,0,4.62
Code Review,High,Mid,Java,High,5,3,3,10,1,10,True,1,True,3.64,2,0,0,1,2.77
Code Review,Medium,Mid,Other,Low,7,5,3,14,1,15,True,1,False,1.91,3,2,0,0,3.54
Design Review,Low,Senior,C++,Critical,13,4,3,26,7,11,True,1,False,3.67,2,1,0,1,4.91
Design Review,Low,Junior,JavaScript,Low,10,1,0,20,8,18,True,3,False,5.39,0,0,1,0,3.77
Feature Dev,Low,Junior,Other,Critical,13,5,1,26,3,9,False,0,False,2.94,2,2,1,0,4.47
Code Review,Low,Junior,Go,Critical,6,1,3,12,10,14,False,0,False,3.6,0,1,0,0,2.47
Client Meeting,Low,Tech Lead,Java,Critical,5,5,3,10,1,15,True,2,False,1.97,3,2,0,0,2.53
Deployment,Medium,Senior,Java,High,13,5,0,26,5,10,False,1,False,3.46,2,1,1,1,4.81
Testing,Medium,Junior,Other,Medium,12,2,1,24,3,10,False,3,True,1.98,2,0,0,0,5.52
Documentation,Medium,Senior,JavaScript,Low,5,1,1,10,2,16,False,0,True,3.94,0,1,0,0,2.19
Documentation,High,Junior,Other,Medium,4,5,3,8,7,9,False,2,False,3.99,1,2,2,0,2.32
Testing,Medium,Tech Lead,Java,Low,9,4,0,18,6,17,False,1,False,5.43,0,1,3,0,3.22
Design Review,Low,Tech Lead,Java,Low,11,1,0,22,9,10,False,1,False,3.15,0,1,0,0,3.82
Testing,Low,Tech Lead,Python,High,1,4,2,2,3,18,False,3,False,3.59,1,2,1,0,0.75
Bug Fix,Medium,Tech Lead,C++,High,6,2,3,12,5,10,True,3,False,1.3,2,0,0,0,3.45
Code Review,Medium,Mid,Java,High,4,2,1,8,10,15,True,0,True,1.58,2,0,0,0,1.87
Testing,Medium,Junior,C++,High,1,3,0,2,8,13,False,0,False,3.0,2,0,1,0,0.5
Bug Fix,Medium,Mid,Python,Low,8,3,0,16,4,10,True,3,False,3.45,1,1,1,0,3.22
Documentation,Low,Mid,JavaScript,High,13,4,1,26,4,10,False,3,False,2.78,2,2,0,0,5.0
Documentation,Medium,Mid,C++,Low,12,2,0,24,10,16,False,3,True,2.28,1,1,0,0,5.64
Testing,High,Senior,Other,High,10,2,1,20,3,16,False,1,True,2.31,1,1,0,0,5.33
Documentation,Medium,Senior,JavaScript,Medium,4,3,3,8,4,15,True,1,True,3.08,1,2,0,0,2.28
Feature Dev,Medium,Tech Lead,Other,Critical,12,5,1,24,5,18,True,2,False,4.28,1,2,2,0,4.63
Client Meeting,High,Junior,C++,High,12,5,1,24,1,10,False,1,False,5.11,0,2,2,1,4.53
Feature Dev,Low,Junior,C++,Critical,9,4,1,18,4,16,False,2,True,3.71,0,2,2,0,3.6
Client Meeting,High,Junior,Other,High,11,2,0,22,8,10,True,1,True,3.18,1,0,1,0,5.64
Bug Fix,Medium,Senior,C++,Low,13,1,2,26,6,10,False,2,False,3.62,0,1,0,0,5.17
Refactoring,Medium,Senior,Java,High,5,3,3,10,7,10,False,2,True,3.2,2,0,0,1,2.74
Client Meeting,Low,Mid,Go,High,8,3,3,16,10,14,True,2,False,2.92,2,0,1,0,3.27
Code Review,High,Junior,JavaScript,Critical,3,2,0,6,8,10,False,0,False,1.99,1,1,0,0,1.45
Bug Fix,Low,Tech Lead,Other,Low,9,3,0,18,6,11,False,2,False,2.64,1,2,0,0,3.27
Design Review,Low,Senior,C++,Medium,1,2,2,2,1,11,False,2,False,1.18,2,0,0,0,0.77
Client Meeting,Medium,Junior,C++,High,6,3,0,12,5,11,True,3,False,2.4,2,0,1,0,2.63
Refactoring,Medium,Tech Lead,C++,Low,5,1,3,10,9,10,True,1,False,1.86,1,0,0,0,2.48
Bug Fix,High,Senior,Python,Medium,12,4,3,24,3,15,False,2,True,2.8,2,1,1,0,6.16
Client Meeting,Medium,Tech Lead,Go,High,7,4,2,14,3,13,False,1,False,2.95,2,1,1,0,3.05
Design Review,Low,Mid,Other,High,4,3,3,8,10,14,False,0,False,3.63,0,2,1,0,1.53
Bug Fix,High,Tech Lead,Python,High,4,3,3,8,9,14,True,0,False,2.54,2,0,1,0,2.14
Testing,Low,Mid,Other,Critical,4,1,0,8,8,12,True,1,False,1.82,1,0,0,0,1.54
Feature Dev,High,Senior,Other,Medium,5,2,2,10,9,14,False,0,False,1.44,2,0,0,0,2.6
Client Meeting,Low,Senior,Python,High,2,5,3,4,1,10,False,2,False,3.08,2,1,2,0,1.35
Client Meeting,Low,Junior,C++,Low,10,3,0,20,5,16,True,2,False,2.4,2,1,0,0,4.05
Client Meeting,Low,Mid,JavaScript,High,7,1,3,14,3,12,False,2,False,4.86,0,0,1,0,2.91
Design Review,Low,Junior,JavaScript,Medium,5,5,0,10,4,9,False,1,False,4.01,1,2,1,1,1.72
Testing,Low,Junior,C++,High,3,5,2,6,4,9,False,1,True,2.73,3,0,2,0,1.31
Feature Dev,Medium,Mid,JavaScript,Critical,4,3,2,8,10,14,True,1,True,2.92,2,0,1,0,1.99
Code Review,Low,Junior,C++,Medium,4,5,2,8,4,10,False,2,False,2.36,3,1,1,0,1.68
Testing,Low,Mid,C++,Low,1,2,3,2,4,12,False,0,False,4.05,1,0,0,1,0.6
Client Meeting,High,Mid,Go,Low,7,5,0,14,8,18,True,3,False,2.92,1,4,0,0,3.7
Client Meeting,Medium,Tech Lead,Python,Critical,10,1,1,20,2,11,False,3,True,2.61,0,1,0,0,4.65
Deployment,High,Senior,Other,Low,3,3,3,6,6,15,True,0,False,1.64,3,0,0,0,1.88
Design Review,Low,Senior,Java,Low,13,3,2,26,9,14,False,1,False,2.48,1,2,0,0,4.84
Design Review,Medium,Mid,Go,Medium,10,1,3,20,1,10,False,0,False,3.46,0,1,0,0,4.04
Feature Dev,Low,Tech Lead,Other,Medium,5,4,0,10,3,17,True,3,False,3.95,2,0,1,1,1.91
Feature Dev,Low,Senior,Python,Medium,3,3,2,6,2,13,False,1,False,1.67,3,0,0,0,1.51
Refactoring,Medium,Senior,C++,Low,6,2,2,12,8,13,False,2,True,2.48,1,1,0,0,3.14
Bug Fix,Low,Junior,JavaScript,Low,13,1,0,26,7,13,False,3,False,3.12,0,1,0,0,4.68
Client Meeting,Medium,Senior,Python,Low,8,5,0,16,2,15,False,2,False,4.32,1,2,2,0,3.09
Bug Fix,Low,Mid,JavaScript,High,4,4,1,8,5,18,True,1,False,2.8,1,3,0,0,1.78
Design Review,Low,Tech Lead,Go,Low,7,4,1,14,8,12,False,2,True,2.13,3,0,1,0,3.18
Design Review,Medium,Mid,C++,Medium,9,1,3,18,9,13,False,3,False,4.57,0,0,1,0,3.94
Refactoring,High,Tech Lead,Java,High,4,2,0,8,6,13,False,2,False,5.99,0,0,2,0,1.78
Documentation,High,Junior,C++,High,5,2,2,10,10,16,True,2,False,2.1,1,1,0,0,2.85
Feature Dev,High,Mid,JavaScript,Low,6,4,3,12,7,12,False,3,False,4.72,1,1,1,1,3.02
Refactoring,Medium,Senior,Go,Low,5,1,2,10,1,11,True,3,True,2.82,0,1,0,0,3.04
Bug Fix,Low,Tech Lead,Java,Critical,12,4,2,24,3,10,True,0,False,3.58,1,2,1,0,4.48
Client Meeting,High,Mid,JavaScript,Low,12,3,3,24,9,9,False,0,False,3.11,1,1,1,0,5.39
Design Review,Medium,Mid,Go,Critical,9,4,2,18,10,11,False,1,False,4.99,1,1,0,2,3.33
Documentation,Low,Tech Lead,Go,Low,4,5,0,8,4,10,False,3,False,3.85,1,2,2,0,1.56
Feature Dev,Medium,Senior,Java,Low,7,4,2,14,1,16,False,0,False,1.74,3,1,0,0,3.18
Documentation,High,Mid,JavaScript,High,6,5,0,12,1,17,False,3,False,3.95,2,1,1,1,2.7
Design Review,Low,Tech Lead,Python,High,2,1,3,4,2,13,True,2,False,2.65,0,1,0,0,1.53
Deployment,Low,Tech Lead,Java,Medium,2,2,0,4,4,11,True,1,False,1.26,2,0,0,0,0.72
Testing,Medium,Tech Lead,Go,Medium,7,3,2,14,5,18,False,3,False,3.98,1,1,0,1,2.94
Deployment,High,Junior,C++,Medium,6,5,2,12,5,16,True,0,True,4.4,2,0,2,1,2.78
Refactoring,High,Tech Lead,Go,Critical,5,3,0,10,5,14,False,3,False,3.85,1,1,0,1,2.25
Testing,Medium,Tech Lead,Java,Critical,12,4,1,24,3,11,True,1,False,3.37,2,1,0,1,4.65
Testing,Medium,Junior,Go,Medium,1,5,3,2,8,14,False,0,False,2.9,2,2,0,1,0.82
Testing,High,Mid,Other,Critical,9,4,1,18,4,11,True,3,False,3.32,1,2,1,0,4.28
Design Review,High,Tech Lead,Go,Critical,5,5,2,10,8,12,False,1,False,3.17,2,1,2,0,2.54
Bug Fix,Low,Tech Lead,Other,Low,3,2,1,6,6,10,True,3,False,3.3,1,0,1,0,1.36
Documentation,Low,Tech Lead,Other,Low,11,5,3,22,2,17,False,0,False,5.31,1,1,1,2,3.49
Testing,Medium,Tech Lead,Other,Medium,3,2,1,6,5,12,False,1,False,3.64,1,0,1,0,1.17
Refactoring,Low,Mid,JavaScript,High,1,3,1,2,5,14,True,2,True,5.31,0,1,2,0,0.87
Deployment,Medium,Mid,JavaScript,High,8,3,1,16,9,12,False,0,False,2.12,1,2,0,0,3.3
Code Review,Low,Tech Lead,Go,Low,2,5,1,4,9,12,False,3,False,3.31,3,0,2,0,0.91
Feature Dev,Low,Mid,JavaScript,High,3,4,3,6,4,10,False,0,False,3.28,3,0,0,1,1.24
Code Review,Low,Tech Lead,JavaScript,Medium,3,4,2,6,8,9,False,0,False,3.1,2,1,1,0,1.29
Design Review,High,Junior,Go,Critical,8,4,1,16,1,12,False,3,False,5.04,1,1,0,2,3.49
Deployment,Medium,Senior,Other,Medium,3,2,0,6,2,9,False,3,False,2.11,1,1,0,0,1.52
Design Review,Low,Mid,JavaScript,Medium,2,5,1,4,5,16,True,3,False,4.65,2,0,2,1,0.88
Feature Dev,High,Junior,C++,Medium,2,2,2,4,10,14,True,0,True,1.89,2,0,0,0,1.43
Code Review,Low,Mid,C++,High,1,2,3,2,4,12,False,0,False,5.87,0,0,2,0,0.8
Deployment,Medium,Senior,C++,High,9,4,2,18,3,18,False,1,True,5.04,1,1,0,2,3.38
Client Meeting,Medium,Tech Lead,Go,High,10,1,2,20,2,12,False,0,False,2.72,0,1,0,0,4.23
Deployment,Medium,Mid,Python,Low,4,3,0,8,4,9,False,0,False,4.41,0,1,2,0,1.2
Client Meeting,Medium,Tech Lead,Go,Low,8,2,0,16,9,18,False,2,False,3.54,1,0,1,0,3.12
Refactoring,Low,Junior,C++,High,2,1,1,4,10,16,True,1,False,1.25,1,0,0,0,1.02
Bug Fix,Medium,Tech Lead,C++,Critical,13,1,1,26,4,16,False,1,False,1.5,1,0,0,0,5.43
Documentation,High,Junior,Other,Critical,11,1,0,22,4,11,False,3,False,3.74,0,1,0,0,5.15
Testing,Low,Tech Lead,Other,Low,1,2,1,2,4,18,False,2,False,5.35,0,1,0,1,0.66
Refactoring,High,Mid,Python,Medium,2,1,0,4,2,16,False,3,True,1.28,1,0,0,0,1.55
Code Review,Medium,Tech Lead,Other,High,1,5,3,2,5,13,False,0,False,4.16,2,1,1,1,0.59
Client Meeting,High,Junior,JavaScript,Critical,1,2,0,2,1,10,True,1,True,2.27,1,1,0,0,0.75
Bug Fix,Medium,Mid,Other,Medium,4,4,1,8,9,13,True,1,True,3.83,1,1,2,0,1.71
Feature Dev,Low,Junior,JavaScript,High,6,3,1,12,2,10,False,1,True,3.71,1,1,0,1,2.28
Design Review,Medium,Junior,Java,Medium,1,3,0,2,3,9,True,2,False,4.41,0,2,0,1,0.5
Client Meeting,Low,Mid,JavaScript,Medium,8,4,1,16,6,14,False,0,False,3.6,1,2,0,1,2.52
Client Meeting,High,Junior,Python,Critical,9,1,2,18,7,10,False,1,False,1.43,1,0,0,0,4.47
Feature Dev,Low,Mid,Python,Critical,6,2,0,12,10,16,False,1,False,2.59,1,1,0,0,2.03
Client Meeting,High,Mid,JavaScript,Low,5,5,3,10,6,17,False,0,True,3.58,2,2,0,1,2.82
Refactoring,Medium,Junior,Python,Critical,4,1,3,8,3,9,False,0,False,1.95,1,0,0,0,1.93
Client Meeting,High,Junior,Go,High,11,5,3,22,1,12,True,3,False,3.43,1,3,0,1,5.48
Feature Dev,Low,Mid,Python,Medium,3,1,2,6,10,13,True,3,False,1.82,1,0,0,0,1.86
Deployment,Medium,Mid,JavaScript,High,3,3,2,6,3,14,False,0,False,2.23,2,1,0,0,1.42
Design Review,High,Junior,C++,Critical,10,5,3,20,4,16,False,1,False,3.71,2,1,1,1,4.64
Testing,High,Senior,Other,Low,12,1,3,24,4,17,False,2,False,5.67,0,0,1,0,5.19
Deployment,Medium,Junior,C++,Low,1,1,2,2,8,12,True,0,False,5.9,0,0,1,0,0.73
Deployment,Medium,Mid,Go,High,12,4,1,24,10,10,False,1,False,5.53,0,1,3,0,4.21
Deployment,Medium,Junior,Other,Critical,6,1,1,12,8,14,False,3,False,1.11,1,0,0,0,2.75
Bug Fix,High,Senior,Other,Critical,5,4,2,10,10,17,False,2,False,2.55,3,0,1,0,2.82
Deployment,Medium,Junior,Go,Low,10,5,3,20,10,13,False,3,False,2.24,2,3,0,0,4.79
Client Meeting,Low,Junior,JavaScript,Medium,13,2,0,26,7,17,False,1,False,4.98,0,1,0,1,4.03
Client Meeting,Medium,Mid,Go,Critical,9,5,2,18,7,17,True,2,True,1.85,5,0,0,0,4.83
Design Review,Low,Junior,Python,Critical,12,1,0,24,10,9,False,1,False,5.43,0,0,1,0,3.84
Bug Fix,Medium,Mid,Java,Low,7,4,1,14,9,15,True,2,False,2.97,2,1,1,0,2.97
Refactoring,Medium,Tech Lead,Java,Critical,4,1,3,8,8,16,True,0,False,1.56,1,0,0,0,2.18
Documentation,Low,Senior,JavaScript,High,7,2,0,14,1,15,True,3,True,3.73,1,0,1,0,2.89
Bug Fix,High,Tech Lead,Other,High,11,4,3,22,8,17,True,1,False,3.18,2,0,2,0,5.42
Client Meeting,Medium,Senior,Go,Critical,4,4,0,8,9,12,True,1,False,2.94,2,1,0,1,1.82
Code Review,High,Senior,Other,Critical,3,1,2,6,5,15,False,3,False,4.62,0,0,1,0,1.77
Design Review,High,Mid,Other,Medium,10,5,0,20,4,16,True,2,False,1.82,5,0,0,0,4.94
Client Meeting,High,Mid,Java,Low,10,3,2,20,3,15,True,1,False,3.91,1,0,2,0,4.43
Testing,High,Senior,Go,Low,6,3,1,12,8,13,False,2,False,2.92,2,0,1,0,2.81
Feature Dev,Medium,Senior,JavaScript,Critical,2,2,3,4,4,13,True,0,False,2.49,1,1,0,0,1.3
Code Review,High,Junior,Python,Low,10,1,1,20,1,9,True,3,False,1.98,1,0,0,0,5.34
Feature Dev,Low,Junior,JavaScript,Critical,4,5,2,8,4,14,False,2,False,5.01,0,0,4,1,1.27
Deployment,Medium,Junior,C++,High,10,1,2,20,4,14,True,1,True,6.53,0,0,0,1,4.15
Feature Dev,High,Tech Lead,Java,Critical,6,4,1,12,3,17,False,2,False,3.59,1,2,1,0,2.89
Testing,Low,Junior,Other,Low,1,4,2,2,6,9,False,1,False,1.78,3,1,0,0,0.71
Refactoring,Low,Tech Lead,Python,Medium,12,2,1,24,6,18,True,0,False,3.7,1,0,1,0,4.29
Deployment,Medium,Tech Lead,C++,Medium,3,5,2,6,3,12,False,0,False,4.16,0,3,1,1,1.37
Design Review,Low,Tech Lead,Other,Critical,13,2,0,26,6,17,False,1,False,2.47,1,1,0,0,4.84
Testing,Medium,Mid,JavaScript,Critical,12,4,0,24,3,14,False,3,False,3.95,1,2,0,1,4.39
Deployment,Low,Tech Lead,Python,Low,1,4,3,2,5,10,True,2,True,2.95,1,2,1,0,1.11
Client Meeting,Low,Senior,Go,Medium,6,5,3,12,6,10,True,2,False,3.44,3,1,0,1,2.71
Bug Fix,Medium,Tech Lead,Python,High,9,2,3,18,4,17,False,1,True,4.72,0,1,1,0,3.87
Documentation,High,Tech Lead,C++,High,13,5,2,26,7,14,False,2,False,2.5,1,4,0,0,6.17
Testing,Medium,Mid,Python,Critical,12,5,3,24,1,13,False,2,True,2.32,2,3,0,0,6.07
Documentation,Medium,Tech Lead,Java,Critical,12,4,0,24,10,18,True,2,False,4.36,0,2,1,1,4.58
Documentation,Low,Tech Lead,Go,Critical,9,5,0,18,4,14,True,2,True,2.77,2,2,1,0,3.57
Client Meeting,Medium,Senior,Java,Low,10,4,1,20,4,18,True,1,False,3.54,2,1,0,1,3.87
Deployment,High,Tech Lead,Java,Medium,5,2,1,10,3,14,False,2,False,1.28,2,0,0,0,2.8
Client Meeting,High,Mid,Other,High,10,3,2,20,2,9,False,0,False,3.94,0,1,2,0,4.35
Code Review,Medium,Mid,JavaScript,Medium,9,2,0,18,7,17,False,0,False,2.67,1,1,0,0,3.38
Refactoring,Low,Mid,JavaScript,Medium,9,3,1,18,9,11,False,3,False,3.18,0,3,0,0,3.7
Design Review,High,Tech Lead,Other,Critical,13,4,2,26,5,11,True,0,False,5.47,1,0,1,2,5.03
Feature Dev,Medium,Mid,Python,Critical,12,3,2,24,10,17,False,3,False,2.26,2,1,0,0,5.15
Feature Dev,Low,Senior,Go,High,5,5,0,10,10,14,True,0,False,4.67,0,2,2,1,1.59
Bug Fix,Low,Senior,C++,Critical,6,4,3,12,1,17,True,1,False,4.7,1,1,1,1,2.26
Client Meeting,High,Mid,C++,Critical,1,2,3,2,1,13,True,0,False,2.92,1,1,0,0,0.94
Bug Fix,Low,Senior,JavaScript,Medium,5,4,1,10,4,9,True,3,True,3.38,2,1,0,1,2.28
Testing,Medium,Senior,JavaScript,High,9,3,1,18,1,13,False,0,True,3.11,2,0,1,0,3.65
Client Meeting,Low,Tech Lead,C++,High,7,2,1,14,3,13,False,2,False,2.79,1,0,1,0,2.75
Bug Fix,High,Tech Lead,Python,Low,6,3,0,12,4,9,True,0,True,4.12,1,1,0,1,2.99
Refactoring,Low,Tech Lead,C++,Medium,1,3,2,2,10,11,True,1,False,2.64,1,2,0,0,0.85
Feature Dev,Low,Senior,Other,High,9,5,3,18,7,12,False,3,True,4.72,2,0,2,1,3.61
Refactoring,High,Junior,Go,Medium,5,4,1,10,2,11,False,3,False,3.78,2,0,1,1,2.38
Testing,High,Mid,Python,Medium,4,2,0,8,2,13,True,2,True,2.47,1,1,0,0,2.12
Bug Fix,Medium,Tech Lead,Python,Low,6,3,3,12,5,16,True,0,False,1.9,2,1,0,0,2.95
Testing,Low,Senior,Other,Medium,3,1,1,6,3,17,False,0,True,1.26,1,0,0,0,1.36
Bug Fix,Low,Mid,Java,High,1,5,3,2,2,15,True,3,True,2.75,3,1,0,1,1.08
Client Meeting,High,Senior,C++,Low,13,3,0,26,7,9,False,2,False,1.65,2,1,0,0,6.25
Client Meeting,High,Senior,Go,Critical,2,4,3,4,7,16,False,3,False,4.47,0,3,0,1,1.28
Code Review,Medium,Mid,Python,Medium,3,4,0,6,8,18,False,3,False,3.31,1,2,1,0,1.44
Refactoring,Medium,Tech Lead,Other,Critical,5,5,0,10,5,14,True,0,False,3.65,2,1,1,1,1.74
Code Review,Low,Mid,Other,High,8,5,0,16,1,18,True,0,False,4.36,1,2,1,1,2.5
Bug Fix,High,Junior,Go,High,1,4,1,2,5,14,True,2,False,4.04,1,1,1,1,0.93
Code Review,Low,Mid,C++,High,7,5,0,14,2,10,False,0,True,4.35,2,0,2,1,2.46
Client Meeting,Low,Tech Lead,JavaScript,High,4,2,0,8,1,11,False,3,False,2.13,1,1,0,0,1.86
Testing,Low,Junior,Go,Critical,7,5,2,14,9,9,False,1,False,2.72,3,2,0,0,2.68
Refactoring,Medium,Senior,JavaScript,Low,8,1,1,16,7,9,False,3,False,5.84,0,0,1,0,3.28
Testing,High,Mid,C++,High,8,3,2,16,2,15,False,2,True,2.81,2,0,1,0,4.23
Testing,Low,Mid,Other,Critical,1,4,0,2,4,17,True,2,False,2.34,3,1,0,0,0.56
Testing,High,Tech Lead,Python,Low,6,3,3,12,3,11,False,3,True,5.35,1,0,1,1,3.1
Documentation,High,Mid,JavaScript,Medium,3,5,2,6,2,18,True,0,True,3.6,1,2,2,0,1.87
Code Review,Low,Tech Lead,C++,Critical,4,5,3,8,1,12,True,2,False,4.83,0,3,2,0,2.0
Bug Fix,High,Mid,Other,Critical,10,3,3,20,3,11,True,1,False,1.91,2,1,0,0,5.32
Design Review,Medium,Mid,JavaScript,High,9,3,3,18,1,16,True,3,False,5.27,0,1,2,0,3.88
Documentation,Medium,Senior,C++,Critical,9,5,1,18,8,9,True,1,True,1.21,5,0,0,0,4.44
Documentation,High,Senior,Go,Critical,8,5,1,16,6,9,True,3,False,3.18,1,3,1,0,3.91
Bug Fix,Medium,Tech Lead,JavaScript,Critical,12,4,1,24,8,14,True,0,False,3.93,2,0,1,1,4.26
Feature Dev,High,Junior,Go,Medium,4,5,2,8,10,9,False,0,False,2.83,3,1,0,1,1.8
Testing,Low,Junior,JavaScript,High,5,2,0,10,10,11,False,1,False,3.8,0,1,1,0,1.81
Feature Dev,Medium,Mid,Other,Low,8,4,0,16,2,12,True,3,False,4.43,1,1,0,2,2.89
Client Meeting,Medium,Tech Lead,Java,Medium,13,5,0,26,2,11,False,3,False,3.43,2,1,2,0,4.89
Testing,High,Senior,Python,Medium,2,1,0,4,5,12,False,3,False,3.68,0,1,0,0,1.07
Design Review,High,Senior,Go,Critical,6,1,1,12,4,16,True,0,False,1.04,1,0,0,0,3.24
Refactoring,Medium,Junior,C++,Critical,1,3,3,2,1,17,False,2,True,2.55,1,2,0,0,1.18
Testing,Medium,Mid,Python,Critical,9,3,1,18,5,17,False,3,False,4.12,1,1,0,1,3.68
Design Review,Medium,Mid,C++,Low,1,2,0,2,6,11,False,2,True,4.2,0,1,1,0,0.5
Design Review,High,Tech Lead,Java,Medium,4,1,3,8,1,15,True,3,True,3.19,0,1,0,0,2.93
Code Review,Low,Junior,Other,High,13,2,0,26,3,10,False,1,False,2.1,1,1,0,0,4.58
Deployment,Medium,Tech Lead,Java,Low,12,4,3,24,4,18,True,1,True,2.69,3,0,1,0,5.62
Code Review,Low,Tech Lead,Other,Low,4,3,2,8,3,17,False,0,False,4.84,0,1,2,0,1.32
Refactoring,Medium,Tech Lead,JavaScript,High,4,5,2,8,3,17,False,0,False,2.5,2,3,0,0,2.02
Refactoring,Low,Senior,Other,Medium,13,3,1,26,9,12,True,3,False,4.06,0,2,1,0,4.91
Feature Dev,Medium,Mid,C++,High,5,4,1,10,3,11,True,1,True,1.93,3,0,1,0,2.32
Code Review,Medium,Senior,Python,Critical,10,4,0,20,5,12,True,2,False,4.5,1,1,0,2,3.56
Documentation,High,Junior,Go,Medium,11,1,2,22,1,13,True,3,False,1.28,1,0,0,0,5.99
Code Review,Low,Junior,Python,Medium,5,4,0,10,1,17,True,0,False,4.26,1,2,0,1,1.79
Code Review,Medium,Tech Lead,Go,Critical,9,4,2,18,7,17,True,3,False,2.78,1,3,0,0,4.34
Documentation,High,Junior,Python,Low,12,3,3,24,7,15,False,2,False,5.34,0,1,1,1,4.97
Testing,High,Junior,Java,Critical,9,1,0,18,8,18,False,3,False,1.52,1,0,0,0,4.66
Testing,Medium,Junior,Go,Low,5,3,2,10,3,17,True,2,False,1.86,2,1,0,0,2.6
Feature Dev,Medium,Tech Lead,Other,Low,5,2,1,10,10,15,True,3,True,6.11,0,0,1,1,2.15
Documentation,Medium,Tech Lead,Python,High,2,5,0,4,7,14,True,3,False,5.21,0,2,2,1,0.9
Testing,Medium,Tech Lead,Java,Medium,6,3,1,12,6,11,True,0,False,4.44,1,0,1,1,2.06
Client Meeting,Low,Mid,Other,Critical,9,4,1,18,7,16,True,1,False,2.93,3,0,0,1,3.52
Design Review,Medium,Mid,Go,Medium,6,1,2,12,4,18,True,1,False,1.25,1,0,0,0,3.06
Code Review,Low,Mid,C++,Critical,12,3,2,24,1,15,False,0,False,5.13,1,0,0,2,3.76
Design Review,High,Mid,Java,Low,8,1,3,16,6,18,True,1,False,3.22,0,1,0,0,4.13
Refactoring,High,Junior,JavaScript,Medium,6,5,0,12,1,18,False,0,False,3.54,0,4,0,1,2.61
Documentation,Medium,Mid,Go,Low,9,1,1,18,5,15,False,0,False,2.98,0,1,0,0,3.46
Design Review,Low,Tech Lead,Python,Critical,8,3,1,16,10,9,True,3,False,3.41,2,0,0,1,3.12
Refactoring,Low,Junior,Java,Critical,9,1,2,18,2,9,False,3,True,2.83,0,1,0,0,4.05
Deployment,Low,Mid,Java,Medium,5,1,1,10,4,13,True,1,True,2.73,0,1,0,0,2.48
Bug Fix,High,Tech Lead,Python,Critical,7,3,1,14,10,11,True,2,True,3.28,1,1,1,0,3.8
Documentation,Medium,Junior,JavaScript,Critical,9,3,1,18,2,12,True,2,False,3.19,2,0,1,0,3.92
Design Review,Low,Mid,C++,Critical,1,4,3,2,9,12,True,1,False,4.56,1,1,1,1,0.62
Design Review,Medium,Mid,Go,Low,2,2,1,4,1,14,True,2,False,1.6,2,0,0,0,1.21
Design Review,High,Junior,Other,Low,4,1,1,8,10,13,False,1,True,1.82,1,0,0,0,2.48
Documentation,High,Senior,Other,High,5,3,2,10,3,18,False,3,False,4.72,0,1,2,0,2.49
Design Review,High,Junior,Python,Critical,2,2,3,4,10,18,False,1,True,3.57,0,1,1,0,1.37
Bug Fix,High,Mid,Go,High,3,4,1,6,3,17,True,1,False,2.01,3,0,1,0,1.81
Refactoring,High,Junior,JavaScript,High,12,4,3,24,7,11,False,0,True,1.72,4,0,0,0,6.4
Bug Fix,Low,Junior,C++,Low,5,3,2,10,8,11,True,2,True,2.5,2,0,1,0,2.54
Documentation,High,Junior,Go,High,1,3,1,2,6,11,True,0,False,3.29,1,1,1,0,0.76
Documentation,Low,Tech Lead,Other,Critical,3,2,1,6,7,16,False,0,True,3.4,1,0,1,0,1.12
Testing,Low,Junior,Java,Critical,9,2,3,18,4,11,False,1,False,4.81,0,1,0,1,3.3
Client Meeting,High,Mid,Java,Medium,13,3,3,26,2,18,False,3,False,3.45,0,3,0,0,6.26
Deployment,Medium,Junior,Other,Medium,6,2,2,12,4,11,False,3,False,1.47,2,0,0,0,2.89
Design Review,Medium,Mid,Java,Medium,10,2,3,20,5,10,False,2,False,2.3,1,1,0,0,4.69
Design Review,High,Junior,C++,Medium,3,3,1,6,3,16,True,0,False,2.5,2,1,0,0,1.71
Testing,Low,Mid,Java,High,2,5,2,4,6,9,False,3,False,4.0,1,2,2,0,0.98
Refactoring,High,Mid,Python,Low,13,4,3,26,8,16,True,2,False,1.76,3,1,0,0,6.92
Testing,Medium,Tech Lead,Other,Medium,4,4,3,8,2,17,True,0,False,1.1,4,0,0,0,2.24
Refactoring,Low,Mid,Java,High,10,4,0,20,9,15,False,0,False,3.55,2,1,0,1,3.34
Design Review,Low,Junior,Python,Critical,9,5,0,18,10,11,True,1,False,2.98,3,1,0,1,3.04
Design Review,High,Junior,C++,High,1,2,0,2,5,12,False,1,False,2.36,1,1,0,0,0.5
Client Meeting,Low,Senior,Java,Medium,2,4,3,4,5,9,False,0,False,3.35,2,1,1,0,0.91
