task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,predicted_duration_days
Code Review,Low,Junior,Java,Low,11,3,3,55,2,18,False,1,True,24.5
Design Review,Medium,Senior,Python,High,13,5,1,60,9,21,False,3,False,11.85
Code Review,High,Tech Lead,Other,Low,11,1,3,24,7,20,True,0,True,9.45
Testing,Medium,Senior,Other,Low,1,2,2,41,5,8,True,4,True,17.44
Client Meeting,Medium,Senior,Other,High,7,5,3,51,3,9,True,3,True,15.1
Feature Dev,Low,Senior,JavaScript,Critical,8,2,2,58,3,5,True,0,True,7.83
Design Review,Low,Mid,Other,High,8,1,2,67,5,15,False,2,False,10.85
Design Review,Medium,Mid,Go,Critical,6,2,0,33,9,7,False,0,False,5.94
Bug Fix,Low,Senior,JavaScript,High,4,1,1,80,1,0,True,3,True,15.79
Feature Dev,Low,Junior,Other,Critical,4,2,3,67,3,13,False,4,True,25.33
Design Review,High,Senior,Other,High,9,3,1,27,10,21,False,1,False,7.52
Feature Dev,High,Senior,Python,Critical,2,5,2,66,6,19,True,3,True,28.96
Code Review,Medium,Junior,Go,Low,6,3,0,37,8,14,False,2,False,17.98
Testing,Medium,Mid,JavaScript,Medium,5,4,2,18,8,3,False,4,False,5.67
Deployment,Low,Senior,JavaScript,Medium,1,3,1,66,9,17,True,1,True,12.25
Bug Fix,High,Mid,C++,Low,13,1,1,34,9,19,True,3,True,29.84
Refactoring,Medium,Mid,Go,Low,6,2,3,73,8,6,True,2,False,23.65
Feature Dev,Medium,Junior,JavaScript,Medium,2,4,2,56,6,21,True,2,True,34.02
Deployment,High,Junior,Python,Low,6,4,3,28,5,8,False,3,True,36.85
Deployment,Medium,Tech Lead,Java,Critical,10,1,2,32,4,12,True,4,False,4.7
Client Meeting,High,Tech Lead,JavaScript,High,1,5,0,8,2,1,False,3,True,3.07
Code Review,High,Mid,Other,High,3,1,0,73,10,13,False,2,True,44.35
Documentation,Medium,Senior,Other,High,10,5,3,78,6,14,True,4,False,16.58
Deployment,Medium,Senior,Go,Medium,9,1,0,26,3,2,False,4,False,6.14
Refactoring,High,Junior,Java,High,9,5,1,61,2,14,True,2,False,37.06
Documentation,Medium,Junior,JavaScript,Medium,7,4,1,70,7,16,True,0,True,35.44
Testing,High,Junior,Java,High,13,4,0,14,10,7,False,4,True,14.88
Documentation,Medium,Junior,Python,Medium,2,4,3,77,1,11,False,1,False,28.59
Client Meeting,High,Mid,Java,High,2,3,0,63,1,21,False,1,True,35.08
Client Meeting,Low,Junior,Python,Medium,13,5,0,5,4,17,True,4,False,1.57
Documentation,Low,Senior,JavaScript,Low,4,4,0,77,1,22,False,4,True,21.83
Refactoring,High,Junior,Python,High,6,1,1,42,4,22,False,1,False,23.39
Bug Fix,Medium,Tech Lead,Java,Critical,13,4,1,60,2,6,False,4,False,8.82
Testing,Low,Senior,Java,Low,12,1,2,73,6,13,True,2,False,11.83
Deployment,High,Mid,Python,High,7,4,1,78,8,18,True,2,False,31.59
Bug Fix,Low,Tech Lead,JavaScript,Medium,7,5,0,21,9,7,False,3,True,3.58
Deployment,Low,Mid,Go,Critical,13,4,3,4,6,7,False,1,True,0.79
Client Meeting,Medium,Senior,Python,Critical,2,1,0,63,6,20,True,2,False,10.21
Client Meeting,Medium,Junior,JavaScript,Low,1,2,0,21,8,6,True,2,True,15.31
Deployment,Medium,Mid,C++,Medium,9,1,2,37,5,14,True,4,True,17.48
Design Review,Low,Junior,Go,Critical,10,1,3,67,7,8,True,4,True,25.33
Feature Dev,High,Senior,Go,Critical,13,3,2,48,2,22,True,2,False,12.96
Feature Dev,Medium,Junior,C++,High,4,1,3,74,9,3,True,3,False,29.22
Code Review,Low,Senior,Java,Low,9,4,1,74,8,14,False,4,True,20.98
Testing,Low,Tech Lead,JavaScript,Critical,8,1,2,16,4,22,True,4,True,2.35
Bug Fix,Medium,Mid,Go,Critical,1,2,1,54,3,11,False,1,True,16.04
Documentation,Low,Mid,Java,Low,10,1,2,61,8,4,True,2,False,13.18
Bug Fix,Low,Junior,Other,Critical,12,5,2,16,10,6,True,2,False,3.46
Testing,High,Junior,Python,Critical,12,5,2,16,3,4,False,4,False,10.08
Code Review,High,Tech Lead,Java,Critical,5,5,3,30,3,5,False,0,False,5.25
Documentation,Low,Mid,JavaScript,Low,5,2,1,57,2,3,True,0,True,15.39
Documentation,Medium,Tech Lead,Python,Critical,4,1,3,5,3,17,False,3,True,1.02
Code Review,Low,Junior,Python,High,13,2,3,57,3,2,False,1,False,12.7
Refactoring,High,Junior,Python,High,8,4,2,7,1,3,False,1,True,5.85
Design Review,High,Junior,Python,Critical,4,5,3,15,4,1,False,1,True,11.14
Bug Fix,Low,Mid,Go,Critical,10,1,3,13,7,15,True,1,True,2.57
Code Review,Medium,Senior,Other,High,12,4,0,67,2,18,True,4,True,21.37
Deployment,Low,Tech Lead,JavaScript,High,4,4,0,22,4,9,False,1,True,2.86
Design Review,Low,Junior,Other,Critical,1,2,2,27,4,18,False,0,True,7.29
Code Review,High,Senior,JavaScript,Critical,13,4,1,52,10,0,True,1,False,12.87
Design Review,Medium,Junior,Java,Medium,8,4,0,63,10,9,True,1,False,23.39
Design Review,High,Senior,Go,High,2,4,0,20,2,3,True,2,True,9.11
Feature Dev,Medium,Tech Lead,Other,High,12,5,3,36,8,17,False,4,False,5.95
Feature Dev,Low,Tech Lead,C++,Low,1,5,2,43,8,8,True,4,True,9.48
Deployment,High,Junior,Go,Low,10,1,3,41,10,18,True,0,False,27.68
Documentation,Low,Junior,C++,Medium,7,5,1,29,6,7,False,4,False,9.13
Refactoring,Medium,Senior,C++,Low,9,2,0,32,10,16,False,2,False,7.78
Client Meeting,Low,Mid,Other,Low,3,1,1,29,8,21,True,0,False,5.22
Design Review,Low,Mid,Java,Low,1,1,0,74,9,12,True,2,False,15.98
Deployment,Low,Junior,Go,Low,1,5,0,19,5,3,False,0,True,7.7
Bug Fix,Medium,Mid,Java,Medium,11,4,1,62,10,21,False,4,True,29.29
Client Meeting,Low,Senior,JavaScript,Low,9,4,3,37,7,7,True,0,True,7.49
Refactoring,Medium,Mid,Java,Critical,2,1,1,61,2,3,True,2,True,19.76
Refactoring,High,Senior,Other,High,6,5,1,77,5,4,True,1,False,21.44
Code Review,Low,Senior,Java,High,13,2,2,56,7,0,False,2,False,6.8
Documentation,Medium,Senior,C++,Critical,8,2,0,16,1,17,True,2,True,3.89
Feature Dev,High,Junior,Other,Medium,3,2,3,80,5,0,True,3,True,87.75
Code Review,High,Senior,Go,Low,8,3,2,21,8,7,False,1,False,7.8
Documentation,Low,Mid,JavaScript,Critical,1,1,2,15,3,19,True,4,True,3.78
Refactoring,High,Senior,Python,Low,11,4,0,26,6,11,True,2,False,10.53
Bug Fix,Low,Junior,C++,Medium,4,1,2,58,7,0,True,0,True,19.58
Refactoring,Low,Mid,C++,Low,1,1,1,29,3,18,False,0,False,5.22
Bug Fix,Low,Junior,Other,High,9,3,0,67,7,13,False,1,False,14.92
Documentation,Medium,Junior,JavaScript,Medium,3,4,3,32,5,12,True,0,True,16.2
Design Review,Low,Junior,JavaScript,Critical,12,2,2,66,3,8,True,2,False,14.26
Bug Fix,Medium,Tech Lead,Go,Medium,3,3,0,20,8,21,True,3,False,3.41
Code Review,High,Tech Lead,C++,Critical,6,4,1,20,5,2,False,3,False,4.55
Refactoring,Medium,Senior,C++,Critical,2,2,0,30,6,0,True,3,True,7.9
Refactoring,Medium,Tech Lead,JavaScript,Medium,3,2,2,38,4,9,True,2,False,5.98
Client Meeting,High,Mid,Python,Medium,2,3,3,36,10,23,False,1,False,14.85
Documentation,High,Mid,Python,Critical,11,3,2,15,2,3,False,1,True,7.43
Refactoring,Low,Tech Lead,Java,Low,11,4,1,43,4,10,False,4,True,9.48
Bug Fix,High,Senior,Go,Critical,9,1,3,55,5,0,False,0,True,18.56
Code Review,Low,Junior,Java,High,5,2,2,14,3,7,True,0,False,2.83
Code Review,Medium,Tech Lead,Python,Medium,8,2,0,68,7,1,True,1,True,14.73
Code Review,High,Mid,Python,Critical,9,5,0,14,2,8,True,0,True,6.3
Documentation,Medium,Junior,Java,Low,13,4,0,79,8,20,False,0,True,47.99
Client Meeting,Low,Senior,Other,Low,12,5,2,16,10,20,False,3,False,2.81
Design Review,Low,Junior,Python,Medium,8,3,1,47,9,5,True,0,False,10.58
Feature Dev,High,Tech Lead,Go,Low,8,2,3,80,1,22,True,3,True,40.95
Client Meeting,Low,Tech Lead,Python,Low,13,5,3,23,3,6,False,2,False,2.9
Deployment,Low,Mid,C++,High,4,1,3,57,9,3,True,1,False,8.46
Refactoring,Low,Senior,JavaScript,Critical,9,1,0,25,5,21,False,1,True,3.71
Testing,Medium,Mid,Java,Low,7,5,0,53,10,21,False,4,False,20.03
Deployment,Medium,Tech Lead,Other,Critical,1,4,3,49,2,13,True,1,False,5.66
Feature Dev,Low,Senior,Python,Low,7,3,1,53,2,0,False,0,True,10.73
Testing,Medium,Junior,Other,High,13,2,2,31,2,19,True,4,True,19.77
Documentation,High,Senior,Go,Low,4,1,0,42,2,23,False,4,True,29.77
Code Review,Medium,Mid,Python,Medium,2,3,0,52,8,23,False,4,False,16.38
Documentation,Medium,Mid,Java,High,4,3,0,15,1,10,True,0,False,3.04
Deployment,Medium,Senior,Java,Critical,9,5,3,19,6,15,True,4,False,3.59
Design Review,High,Junior,Java,Low,8,4,2,16,3,7,False,4,False,15.12
Refactoring,Low,Senior,JavaScript,High,3,4,0,80,8,5,True,3,True,15.79
Feature Dev,Medium,Senior,C++,High,13,3,3,63,8,4,True,2,True,17.22
Deployment,Low,Junior,C++,Medium,1,5,3,19,6,12,False,3,True,8.34
Deployment,High,Junior,Java,Low,8,3,2,33,9,0,True,3,False,28.96
Bug Fix,Medium,Senior,Other,Critical,11,2,3,10,3,18,True,2,False,1.62
Client Meeting,High,Tech Lead,Java,Critical,3,5,2,9,8,13,False,2,True,2.83
Code Review,Medium,Tech Lead,Other,Medium,3,4,0,30,6,6,False,3,False,5.12
Feature Dev,Medium,Mid,Java,Critical,12,5,3,10,7,21,True,2,False,2.16
Testing,Low,Junior,Other,High,13,3,1,37,1,11,True,4,True,15.73
Deployment,Low,Tech Lead,Other,Low,6,5,3,58,5,0,False,1,False,6.7
Client Meeting,Medium,Junior,Other,Critical,9,5,3,67,6,11,False,1,False,19.9
Bug Fix,High,Junior,Java,High,3,2,3,30,7,23,True,3,True,29.62
Feature Dev,Low,Mid,Java,Medium,8,1,0,13,8,11,False,3,True,3.8
Deployment,Low,Tech Lead,Java,Low,13,3,1,73,6,3,False,2,False,9.2
Refactoring,Low,Junior,JavaScript,Medium,2,4,0,30,10,5,True,0,True,10.12
Client Meeting,High,Junior,Python,High,3,4,2,67,2,1,False,4,True,71.23
Bug Fix,Medium,Tech Lead,Python,Medium,13,1,3,28,8,1,False,0,True,5.51
Documentation,High,Mid,Java,Medium,7,4,1,36,5,12,True,0,False,13.5
Feature Dev,High,Senior,C++,Critical,4,5,0,73,4,18,True,3,False,21.35
Documentation,Low,Mid,JavaScript,High,2,5,1,32,3,14,True,3,True,8.42
Refactoring,Low,Mid,Go,Low,7,2,2,10,5,18,False,0,True,2.7
Client Meeting,High,Tech Lead,C++,Critical,11,3,1,62,3,17,False,2,True,19.53
Deployment,Medium,Senior,Python,Critical,12,1,3,42,1,13,False,2,False,6.8
Code Review,Low,Junior,Go,Low,11,1,1,80,1,5,True,0,False,21.6
Documentation,Low,Junior,JavaScript,High,9,5,0,78,4,5,True,2,True,28.43
Testing,Low,Mid,Python,Medium,4,3,0,9,3,11,False,2,True,2.43
Bug Fix,High,Mid,JavaScript,High,6,1,1,55,10,16,False,1,True,30.63
Testing,Low,Mid,JavaScript,Medium,7,2,3,20,1,17,True,2,True,5.4
Bug Fix,Low,Senior,JavaScript,Low,3,5,0,60,6,19,False,2,True,14.58
Code Review,Low,Mid,Java,Critical,7,2,0,65,8,9,False,2,True,14.04
Bug Fix,Low,Tech Lead,Java,High,11,1,1,61,6,19,True,4,True,10.09
Feature Dev,Medium,Tech Lead,Python,Medium,2,4,2,33,7,4,False,2,False,5.2
Design Review,Low,Tech Lead,JavaScript,Critical,2,2,0,58,2,14,True,0,True,6.09
Feature Dev,High,Senior,JavaScript,Medium,5,1,1,25,2,2,False,1,False,7.73
Design Review,Low,Senior,Python,High,4,2,0,78,2,9,True,0,False,7.9
Deployment,High,Tech Lead,Other,Medium,5,4,1,51,5,4,True,0,True,16.73
Documentation,High,Senior,Other,Low,10,2,0,42,9,15,False,0,False,14.17
Deployment,High,Tech Lead,Go,Medium,4,2,1,79,10,17,False,2,True,31.11
Design Review,High,Junior,Java,High,8,5,2,59,5,1,False,4,False,41.82
Refactoring,High,Mid,Other,Medium,13,3,3,65,3,12,True,0,False,24.38
Client Meeting,Medium,Mid,Other,Medium,6,3,1,44,6,2,False,1,True,16.34
Feature Dev,Low,Senior,Python,Low,9,2,2,55,3,9,False,1,False,8.17
Testing,High,Senior,Java,Low,2,2,1,35,5,2,False,4,True,24.81
Code Review,Low,Tech Lead,C++,Medium,12,4,0,21,7,12,True,2,False,2.2
Code Review,High,Senior,C++,Medium,3,1,3,40,1,0,True,4,True,23.62
Code Review,High,Junior,Go,Medium,4,3,1,72,10,5,True,1,False,44.55
Deployment,Low,Junior,Go,Medium,7,1,0,57,1,16,True,3,False,16.67
Code Review,Medium,Tech Lead,JavaScript,Critical,2,4,0,64,7,4,False,2,True,12.1
Refactoring,High,Senior,Python,Low,10,3,1,63,3,6,False,3,True,41.46
Deployment,Medium,Mid,Java,Low,4,2,3,18,1,20,False,2,True,8.75
Client Meeting,Medium,Mid,Java,Low,7,3,2,40,2,23,True,3,True,21.06
Deployment,Medium,Tech Lead,Go,High,8,4,0,58,4,8,False,1,True,11.3
Documentation,Medium,Junior,C++,High,6,1,3,6,2,15,True,1,False,2.0
Feature Dev,Low,Mid,JavaScript,Medium,8,3,2,38,2,15,True,1,False,6.27
Design Review,Medium,Senior,Java,Critical,10,3,3,76,1,5,False,2,False,12.31
Testing,Medium,Mid,C++,Low,5,4,1,29,9,13,False,0,True,11.74
Code Review,High,Senior,Java,High,11,3,3,38,3,2,False,2,True,17.31
Design Review,High,Junior,Python,Medium,8,5,0,37,7,1,False,3,False,27.06
Bug Fix,Medium,Mid,C++,High,5,2,3,10,7,23,False,0,False,2.02
Design Review,Medium,Senior,C++,Critical,3,4,1,55,9,2,False,2,True,13.37
Refactoring,Medium,Junior,Python,Medium,8,4,1,77,2,0,False,2,True,46.78
Deployment,High,Tech Lead,Python,High,4,3,3,58,1,10,True,1,True,18.84
Deployment,Medium,Tech Lead,Go,Medium,4,1,3,65,8,21,True,0,False,8.53
Deployment,High,Junior,Go,Medium,3,2,3,56,8,18,False,0,True,47.25
Refactoring,Medium,Tech Lead,JavaScript,Medium,9,3,0,53,8,6,False,1,False,7.65
Feature Dev,High,Tech Lead,C++,Low,12,3,2,6,5,18,True,1,True,2.6
Deployment,Low,Senior,Other,Critical,13,1,3,60,1,13,False,1,True,8.91
Code Review,Low,Tech Lead,Java,Low,8,2,1,69,10,2,True,3,True,14.13
Refactoring,Low,Tech Lead,Other,High,13,2,1,63,2,14,True,4,False,6.95
Documentation,High,Senior,Java,Critical,10,3,1,7,4,22,True,0,True,2.36
Design Review,Medium,Junior,Python,High,6,5,3,61,1,12,True,0,False,18.53
Refactoring,Medium,Mid,Python,High,5,5,1,38,4,17,False,1,True,12.7
Feature Dev,High,Junior,C++,Low,7,4,0,53,7,20,False,1,True,59.03
Design Review,High,Junior,Python,Critical,11,3,1,69,2,10,True,1,False,34.16
Code Review,Low,Tech Lead,Python,Medium,7,3,0,61,1,6,True,4,True,11.21
Refactoring,High,Junior,C++,Medium,7,2,1,80,7,17,True,2,False,54.0
Refactoring,Medium,Junior,Other,Low,8,2,2,76,3,20,False,2,True,55.4
Bug Fix,Medium,Junior,C++,Low,12,5,3,18,3,15,False,3,True,14.22
Code Review,High,Junior,Go,Medium,1,2,0,62,1,20,True,3,True,68.01
Documentation,Medium,Senior,Java,High,13,5,3,27,5,10,False,0,True,6.15
Feature Dev,Low,Senior,Other,Medium,5,2,2,31,7,19,True,4,True,7.32
Feature Dev,Low,Tech Lead,JavaScript,Medium,1,2,2,76,8,12,True,1,False,7.32
Deployment,Low,Mid,JavaScript,Medium,7,3,1,43,1,11,False,1,False,7.1
Documentation,High,Junior,Other,Critical,13,3,2,6,4,12,False,4,True,5.67
Bug Fix,Medium,Tech Lead,C++,Medium,9,3,2,55,7,4,True,1,True,11.91
Client Meeting,Low,Tech Lead,C++,Critical,10,5,3,40,10,2,True,2,False,3.36
Deployment,High,Mid,Java,Low,5,2,3,27,3,13,True,0,False,12.15
Client Meeting,Medium,Junior,C++,Critical,3,2,2,52,10,18,True,4,True,29.48
Testing,Medium,Tech Lead,C++,Critical,12,4,3,27,6,13,True,2,True,5.1
Testing,Medium,Mid,Python,High,10,2,0,45,4,19,True,4,True,19.14
Feature Dev,Low,Tech Lead,Python,Low,1,1,2,42,1,20,False,3,True,8.6
Bug Fix,Medium,Mid,Python,High,12,5,0,31,5,3,True,1,False,6.91
Design Review,Low,Tech Lead,Java,Low,10,5,3,45,7,9,True,1,False,5.2
Code Review,Medium,Mid,Python,Medium,4,3,1,7,10,15,False,3,True,3.07
Documentation,High,Tech Lead,Java,Low,11,3,3,72,3,0,True,3,False,24.57
Testing,High,Junior,C++,Critical,7,1,3,77,6,15,True,2,True,62.37
Documentation,Low,Senior,C++,High,2,2,2,32,2,21,True,3,False,4.21
Client Meeting,Low,Junior,Python,Critical,8,4,1,25,2,15,False,0,True,6.75
Client Meeting,Low,Mid,Python,Medium,12,3,0,79,4,16,False,1,True,19.55
Deployment,Low,Mid,JavaScript,Medium,13,3,2,39,8,9,True,2,False,7.02
Client Meeting,Low,Tech Lead,Other,Critical,3,2,2,12,1,22,False,3,False,1.09
Bug Fix,High,Junior,C++,Low,12,5,2,15,8,22,True,1,False,11.14
Bug Fix,Medium,Senior,C++,Medium,5,1,0,75,6,16,True,2,False,15.19
Refactoring,High,Junior,Other,Low,6,4,2,38,10,12,False,1,True,42.32
Client Meeting,Low,Tech Lead,C++,Low,1,3,0,79,4,0,False,2,False,9.95
Bug Fix,High,Senior,Python,Medium,10,5,1,26,2,17,True,1,False,8.04
Client Meeting,Low,Junior,Java,High,9,5,3,39,1,21,False,4,True,16.58
Feature Dev,Medium,Senior,Java,High,2,4,2,59,10,6,True,1,False,9.86
Client Meeting,Low,Mid,Python,Medium,10,4,2,37,1,16,True,3,False,7.21
Code Review,High,Tech Lead,Python,Medium,1,1,0,73,5,7,True,0,True,23.95
Feature Dev,Medium,Tech Lead,Python,Low,6,5,2,74,6,17,True,2,True,20.98
Client Meeting,Low,Mid,Other,Low,2,5,3,8,5,14,True,1,True,2.38
Design Review,Low,Tech Lead,Other,Low,8,4,2,50,5,9,False,0,True,7.88
Testing,Low,Tech Lead,Python,High,7,1,2,35,10,8,False,3,False,3.58
Client Meeting,Low,Tech Lead,Java,Medium,6,5,3,4,6,7,True,1,False,0.39
Bug Fix,High,Senior,Python,Medium,6,4,3,4,4,12,False,0,False,1.12
Code Review,Medium,Mid,Python,Critical,7,2,3,5,6,1,True,4,True,1.89
Client Meeting,Medium,Junior,Go,Low,1,2,0,79,2,5,True,1,True,52.79
Feature Dev,Medium,Mid,Python,High,6,2,1,62,6,18,False,4,False,17.58
Testing,Low,Mid,C++,Low,1,5,3,9,3,14,False,3,False,2.11
Design Review,Medium,Senior,Other,Medium,1,3,2,75,10,9,False,2,True,22.78
Refactoring,Low,Junior,Go,Low,11,5,0,74,10,12,False,2,True,35.96
Documentation,Medium,Senior,C++,Critical,3,2,2,23,2,15,False,0,False,3.11
Client Meeting,Medium,Junior,Java,Critical,2,4,1,43,9,13,True,3,True,22.64
Documentation,Medium,Mid,C++,Critical,1,2,1,49,2,11,False,0,True,13.23
Design Review,Low,Junior,Python,Critical,4,1,3,67,2,10,False,0,False,12.06
Refactoring,Medium,Junior,JavaScript,Medium,3,3,2,13,4,7,False,2,False,5.26
Documentation,Low,Tech Lead,JavaScript,High,4,1,2,63,10,1,False,3,True,9.67
Bug Fix,High,Tech Lead,C++,High,12,4,1,58,6,12,True,4,True,23.98
Testing,Medium,Tech Lead,JavaScript,Critical,7,5,0,51,8,1,True,1,False,5.89
Deployment,High,Junior,Go,High,4,1,0,76,3,5,True,4,False,53.87
Client Meeting,Medium,Mid,Java,Medium,3,5,3,31,3,6,False,2,False,8.37
Code Review,Low,Mid,JavaScript,Medium,13,2,3,62,7,19,True,2,True,16.74
Deployment,Medium,Mid,Go,Medium,4,5,2,22,1,4,True,1,True,8.17
Bug Fix,Medium,Junior,Python,Critical,10,2,1,26,9,8,False,1,True,11.58
Documentation,Medium,Junior,Go,Medium,10,1,3,46,6,2,False,2,False,18.63
Feature Dev,Medium,Junior,C++,High,7,5,0,29,9,7,True,0,True,13.21
Client Meeting,Medium,Mid,Java,Medium,3,4,1,20,8,14,False,3,True,8.78
Testing,Low,Tech Lead,Other,Low,7,4,2,65,1,14,True,1,False,7.51
Code Review,Low,Tech Lead,Python,High,10,3,1,68,5,4,False,0,True,8.03
Deployment,High,Senior,Other,Low,3,4,2,6,7,15,False,4,True,4.25
Client Meeting,Medium,Tech Lead,Java,High,10,1,3,24,1,1,True,3,True,5.53
Refactoring,High,Senior,Other,Critical,13,3,3,13,5,18,False,2,False,3.51
Deployment,High,Mid,Python,Medium,10,5,3,77,9,22,False,4,True,60.64
Documentation,High,Tech Lead,Python,High,6,1,2,80,4,4,False,3,False,20.48
Testing,Low,Mid,Other,Medium,10,3,3,16,3,3,True,4,True,5.04
Bug Fix,Medium,Senior,Go,High,4,3,0,4,2,5,False,3,True,1.18
Feature Dev,Low,Senior,C++,High,3,2,2,54,8,23,False,0,True,8.2
Feature Dev,Low,Tech Lead,Go,Critical,1,3,2,12,7,16,True,3,True,1.64
Testing,High,Senior,Go,High,7,3,3,77,10,17,False,3,True,38.01
Design Review,High,Tech Lead,Other,Critical,10,3,3,28,9,7,True,4,False,6.86
Feature Dev,Low,Tech Lead,Python,Low,9,1,1,57,2,12,False,1,True,9.88
Bug Fix,Medium,Senior,JavaScript,High,12,4,3,39,6,15,False,2,False,7.11
Design Review,Medium,Senior,Python,Medium,5,4,3,39,1,0,True,3,False,8.56
Design Review,High,Tech Lead,Go,Medium,5,1,2,13,7,12,False,2,False,3.41
Bug Fix,Low,Mid,JavaScript,High,5,1,3,41,1,4,True,1,False,6.09
Refactoring,Medium,Junior,Go,Medium,6,4,0,12,8,0,True,3,True,7.9
Code Review,High,Senior,JavaScript,Medium,4,5,3,11,3,1,False,0,True,4.64
Code Review,High,Senior,Other,Low,4,3,0,78,7,20,True,4,False,36.85
Deployment,High,Tech Lead,Java,High,6,2,2,18,4,11,False,4,False,4.96
Refactoring,Low,Senior,JavaScript,Low,8,2,2,52,8,9,True,4,False,9.83
Deployment,High,Mid,Go,High,11,1,2,78,9,1,True,3,True,51.33
Feature Dev,High,Senior,JavaScript,Medium,11,1,1,15,6,16,True,2,False,5.06
Code Review,Medium,Mid,JavaScript,Medium,1,2,0,76,8,21,False,3,False,22.23
Refactoring,Medium,Tech Lead,JavaScript,High,2,3,0,69,7,23,False,4,True,17.12
Testing,Low,Mid,Go,High,13,5,3,69,5,3,False,1,True,15.37
Testing,Low,Tech Lead,Python,High,12,5,3,39,3,14,False,3,False,3.99
Refactoring,Low,Junior,C++,Medium,12,1,3,55,3,18,True,0,False,12.38
Bug Fix,High,Junior,C++,Medium,5,2,3,50,6,18,False,3,True,54.84
Client Meeting,Low,Mid,Java,Critical,12,2,1,64,2,14,True,1,True,12.67
Testing,Medium,Junior,Python,Critical,6,3,3,11,9,8,False,3,False,3.86
Documentation,Low,Tech Lead,C++,Critical,6,3,1,79,9,2,True,3,True,10.78
Deployment,High,Junior,JavaScript,Low,6,4,0,75,10,9,False,4,False,70.88
Feature Dev,Medium,Mid,Go,High,9,5,3,56,4,16,True,1,True,18.71
Deployment,Medium,Junior,Java,Medium,10,4,0,27,2,20,True,2,True,16.4
Refactoring,High,Junior,Java,Critical,11,1,1,7,8,0,False,3,True,6.14
Bug Fix,Low,Tech Lead,Go,Medium,4,4,1,79,9,4,False,4,True,14.52
Testing,Medium,Tech Lead,Other,High,10,4,0,35,6,1,False,3,False,5.37
Deployment,High,Tech Lead,Go,Medium,4,3,2,61,1,15,False,1,True,22.02
Feature Dev,High,Mid,Python,High,6,3,0,44,8,21,True,2,True,26.73
Bug Fix,High,Tech Lead,Go,Medium,9,3,2,37,1,9,False,4,True,17.0
Bug Fix,Low,Senior,Python,High,8,1,0,23,4,20,False,0,True,3.49
Client Meeting,High,Tech Lead,Python,High,11,4,0,8,10,20,False,3,False,2.05
Refactoring,Low,Mid,Java,High,13,3,2,58,9,9,False,3,False,10.18
Documentation,Low,Mid,C++,Critical,5,1,0,59,4,4,False,3,True,13.81
Deployment,High,Mid,Python,High,10,4,2,61,3,19,True,3,True,40.15
Bug Fix,High,Tech Lead,Go,Medium,12,1,1,76,2,10,False,2,True,29.92
Testing,Low,Mid,JavaScript,Low,7,3,0,74,6,20,False,4,True,27.97
Client Meeting,Medium,Junior,C++,Medium,5,3,3,64,5,12,True,0,False,21.6
Design Review,High,Senior,Other,Low,11,4,2,18,7,2,False,0,False,6.08
Code Review,Low,Mid,Python,Low,7,5,0,40,2,7,False,2,False,8.64
Client Meeting,High,Junior,Other,High,9,2,3,61,5,0,True,4,True,64.85
Refactoring,Medium,Senior,Other,Medium,4,1,1,58,6,23,True,4,False,13.7
Feature Dev,Low,Mid,C++,Critical,8,4,0,80,7,13,False,3,True,18.72
Code Review,Low,Senior,Other,Critical,4,3,1,8,3,4,True,1,False,0.79
Refactoring,Low,Junior,Java,Critical,7,5,1,57,8,11,True,0,False,10.26
Deployment,High,Junior,JavaScript,Medium,11,3,2,55,2,8,False,0,True,46.41
Testing,Low,Senior,Python,Critical,5,4,2,59,5,4,False,0,True,7.97
Refactoring,Medium,Mid,C++,Medium,7,2,0,76,10,11,False,4,False,23.94
Design Review,High,Mid,Other,Medium,8,4,3,37,2,9,True,0,True,20.81
Refactoring,Medium,Junior,Java,High,6,1,1,38,5,21,False,4,False,16.16
Deployment,Low,Mid,Go,Medium,10,1,2,64,4,7,True,2,False,11.52
Documentation,Medium,Junior,JavaScript,Critical,5,5,1,23,6,2,True,2,False,7.45
Refactoring,High,Tech Lead,Go,High,4,1,1,5,5,0,False,2,True,1.77
Deployment,Medium,Tech Lead,C++,Low,9,2,0,71,6,16,True,0,True,16.77
Refactoring,Medium,Mid,Python,High,4,5,0,45,2,2,False,1,False,10.02
Deployment,High,Tech Lead,Java,Low,13,1,3,74,2,17,False,0,True,29.14
Client Meeting,High,Senior,C++,High,3,3,3,10,7,20,True,1,False,2.78
Testing,Low,Junior,JavaScript,High,3,2,0,55,1,1,True,1,True,18.38
Feature Dev,High,Tech Lead,JavaScript,High,12,1,2,21,3,9,True,0,False,4.13
Feature Dev,Low,Tech Lead,C++,Critical,1,1,2,13,5,10,True,0,True,1.36
Client Meeting,Medium,Mid,Java,Medium,3,2,1,39,1,1,False,1,True,14.48
Feature Dev,High,Mid,Python,High,7,2,0,16,10,1,True,0,True,8.1
Documentation,High,Senior,Java,Medium,10,1,1,33,3,11,True,4,False,12.99
Bug Fix,Low,Mid,Java,High,6,4,2,46,3,6,False,1,False,6.83
Documentation,Medium,Tech Lead,C++,Low,3,3,3,58,4,8,True,0,False,9.13
Testing,Medium,Tech Lead,Other,Critical,11,2,2,77,9,20,False,1,False,8.89
