task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,duration_days
Research,High,Senior,Python,Medium,6,1,0,24,2,17,True,1,True,8.5
Feature Dev,Medium,Senior,Python,Low,5,6,2,30,8,8,True,2,False,3.0
Feature Dev,Low,Mid,Python,Critical,8,6,1,34,7,16,False,3,False,4.65
Research,Low,Senior,Python,Medium,7,7,3,23,2,9,True,1,True,3.3
Feature Dev,Medium,Senior,Java,Critical,9,9,0,24,2,18,True,0,False,4.0
Research,High,Senior,JavaScript,Low,7,1,0,34,6,12,True,0,True,8.5
Bugfix,High,Senior,JavaScript,Critical,8,10,3,13,11,8,False,1,False,4.5
Bugfix,Medium,Senior,JavaScript,Low,1,4,0,24,2,18,False,3,True,3.1
Feature Dev,Low,Senior,Python,Low,9,1,5,18,11,16,False,0,False,8.5
Feature Dev,Medium,Mid,JavaScript,Low,7,2,0,23,1,10,False,0,False,7.35
Feature Dev,Low,Junior,Python,Medium,1,4,4,11,8,16,True,3,True,6.2
Feature Dev,Low,Mid,Java,Low,1,9,5,18,10,9,False,3,False,6.1
Feature Dev,Low,Mid,Java,Low,8,7,4,39,3,17,True,1,True,5.05
Research,Low,Junior,JavaScript,Critical,3,6,0,30,7,18,True,1,False,6.3
Research,Low,Junior,Python,Critical,9,5,2,14,12,12,False,3,False,6.0
Feature Dev,Medium,Mid,JavaScript,Critical,8,5,2,31,11,10,True,2,False,4.45
Feature Dev,High,Mid,Java,Low,7,2,4,30,4,9,False,0,False,7.35
Research,High,Senior,Java,Low,6,9,5,18,13,18,False,1,False,4.0
Bugfix,Medium,Mid,Python,Critical,7,10,2,14,6,12,True,0,True,6.75
Feature Dev,Medium,Senior,Java,Medium,1,9,4,15,9,14,True,3,False,4.0
Research,High,Mid,Python,Critical,4,2,1,37,2,9,True,3,False,7.35
Bugfix,Low,Junior,Python,Low,6,9,1,32,7,17,False,2,False,8.2
Feature Dev,Medium,Junior,Java,Critical,5,10,0,13,4,17,True,3,True,9.0
Feature Dev,High,Junior,JavaScript,Medium,12,8,2,5,5,13,False,1,False,7.5
Bugfix,Low,Mid,Java,Medium,6,7,3,37,11,12,False,0,False,5.05
Research,Low,Mid,Python,Medium,5,9,3,24,4,17,True,2,False,6.1
Feature Dev,Medium,Mid,Java,Medium,2,3,5,5,12,8,False,3,False,5.4
Research,Medium,Junior,Java,Medium,6,6,1,38,10,13,True,0,False,6.3
Feature Dev,Low,Junior,Python,Low,2,5,5,35,7,14,True,0,True,6.0
Research,Medium,Senior,JavaScript,Critical,9,7,1,8,5,17,False,1,False,3.3
Feature Dev,High,Mid,Java,Medium,5,1,4,24,13,16,False,0,True,11.25
Feature Dev,Medium,Senior,Java,Medium,11,2,5,27,4,11,False,3,True,5.2
Bugfix,Medium,Senior,JavaScript,Critical,12,8,5,22,8,11,True,3,False,3.6
Research,Low,Mid,Java,Critical,8,7,3,37,6,16,True,0,False,5.05
Bugfix,Medium,Senior,Python,Low,8,9,3,30,7,12,False,0,False,4.0
Feature Dev,Low,Senior,JavaScript,Medium,2,2,3,24,3,8,False,3,False,5.2
Bugfix,High,Mid,Python,Critical,8,1,4,12,13,16,False,2,True,11.25
Research,High,Senior,Python,Medium,5,2,4,9,5,10,True,1,False,5.2
Feature Dev,Low,Junior,Python,Low,7,9,0,9,9,16,False,0,False,8.2
Research,Medium,Mid,Python,Medium,5,1,2,31,1,12,False,1,True,11.25
Bugfix,High,Senior,Python,Low,11,5,2,28,2,8,False,2,False,2.9
Bugfix,Medium,Mid,Python,Critical,1,1,2,14,1,16,False,3,True,11.25
Research,Low,Senior,JavaScript,Critical,9,10,1,13,6,9,False,2,False,4.5
Research,Medium,Junior,Python,Medium,8,6,4,17,10,14,True,1,True,6.3
Feature Dev,Medium,Mid,Java,Low,8,3,3,24,5,16,False,3,True,5.4
Feature Dev,Low,Mid,JavaScript,Medium,7,9,3,28,6,9,False,2,True,6.1
Bugfix,Medium,Junior,JavaScript,Critical,6,2,0,32,4,12,False,3,True,9.5
Research,Medium,Senior,JavaScript,Low,1,6,5,18,6,16,False,3,False,3.0
Bugfix,Low,Junior,Java,Medium,5,2,0,10,4,13,False,0,False,9.5
Feature Dev,High,Mid,JavaScript,Low,7,1,1,24,12,8,False,2,False,11.25
Research,Medium,Senior,Java,Medium,2,10,0,35,13,15,False,1,False,4.5
Feature Dev,Medium,Mid,Python,Medium,12,7,2,27,12,13,True,3,True,5.05
Feature Dev,Medium,Senior,Java,Critical,5,4,2,4,6,14,False,1,False,3.1
Research,High,Junior,Python,Medium,1,9,2,5,7,16,False,2,True,8.2
Bugfix,High,Senior,JavaScript,Low,1,9,4,10,10,18,False,1,True,4.0
Feature Dev,Low,Mid,JavaScript,Medium,8,9,3,18,5,13,True,2,False,6.1
Research,High,Junior,Java,Medium,5,3,3,21,13,9,True,3,True,7.0
Bugfix,High,Junior,Java,Low,3,4,4,39,13,18,True,2,True,6.2
Feature Dev,Low,Senior,Java,Low,13,4,2,35,9,10,True,3,False,3.1
Feature Dev,High,Junior,Python,Critical,9,2,5,11,1,9,False,0,False,9.5
Research,High,Junior,Python,Critical,11,10,0,31,3,18,False,3,False,9.0
Research,High,Mid,Python,Low,11,1,1,5,11,18,False,1,False,11.25
Bugfix,Low,Junior,Java,Medium,3,6,5,19,9,10,False,2,False,6.3
Bugfix,Medium,Senior,Java,Low,9,1,4,32,7,14,True,3,False,8.5
Research,High,Junior,Python,Medium,2,9,3,23,7,15,True,2,False,8.2
Feature Dev,Medium,Senior,Java,Low,1,2,3,21,14,10,True,0,True,5.2
Feature Dev,Medium,Junior,Java,Low,1,6,4,17,5,17,True,1,True,6.3
Bugfix,Low,Senior,Java,Medium,8,6,5,4,1,18,True,3,True,3.0
Bugfix,Medium,Senior,JavaScript,Low,13,6,0,5,1,8,True,1,True,3.0
Research,Low,Mid,Java,Critical,4,2,1,38,10,12,True,2,False,7.35
Bugfix,High,Mid,Python,Low,5,6,2,13,7,17,True,3,False,4.65
Bugfix,Medium,Junior,JavaScript,Critical,12,5,1,9,8,13,False,3,False,6.0
Bugfix,Medium,Mid,JavaScript,Critical,2,10,5,39,6,17,True,0,True,6.75
Feature Dev,High,Mid,Java,Critical,10,7,0,38,4,16,False,2,False,5.05
Bugfix,Medium,Senior,Java,Critical,10,10,5,24,8,18,True,1,False,4.5
Bugfix,High,Mid,Java,Low,10,10,5,27,13,18,False,2,True,6.75
Bugfix,Medium,Junior,JavaScript,Low,5,6,0,5,1,12,False,1,False,6.3
Bugfix,Medium,Junior,JavaScript,Medium,13,1,3,17,14,16,False,2,True,14.0
Research,Low,Junior,JavaScript,Medium,11,10,3,5,10,11,True,0,False,9.0
Feature Dev,Low,Mid,Python,Medium,9,2,4,40,11,8,True,1,False,7.35
Feature Dev,Low,Junior,Java,Low,10,8,3,18,12,10,False,2,False,7.5
Bugfix,Medium,Senior,Java,Medium,6,5,4,9,13,12,True,3,False,2.9
Bugfix,Medium,Mid,Java,Medium,4,1,5,16,8,14,True,3,False,11.25
Bugfix,Low,Senior,JavaScript,Low,13,10,5,4,3,8,False,2,True,4.5
Research,High,Junior,Python,Medium,5,8,3,31,8,17,False,2,True,7.5
Feature Dev,Low,Junior,Python,Low,10,4,1,13,11,8,False,2,False,6.2
Bugfix,Low,Mid,JavaScript,Critical,13,4,1,7,8,12,True,2,False,4.65
Feature Dev,High,Senior,Python,Critical,9,4,4,36,6,12,True,0,True,3.1
Bugfix,Low,Junior,JavaScript,Critical,1,6,1,12,3,11,False,1,True,6.3
Feature Dev,High,Junior,Python,Critical,9,6,2,40,9,15,False,2,True,6.3
Feature Dev,Medium,Mid,JavaScript,Low,12,7,0,10,4,9,True,2,False,5.05
Bugfix,Low,Junior,Python,Critical,1,10,3,11,14,14,False,2,True,9.0
Bugfix,Low,Senior,Java,Critical,6,2,0,20,1,8,True,2,False,5.2
Feature Dev,Low,Junior,JavaScript,Medium,13,2,4,26,8,14,True,1,False,9.5
Research,Low,Junior,Java,Medium,2,7,4,16,7,12,True,1,True,6.8
Feature Dev,Medium,Mid,JavaScript,Critical,2,2,5,30,11,17,True,0,False,7.35
Feature Dev,Low,Junior,JavaScript,Critical,11,3,4,39,6,8,True,2,False,7.0
Research,Medium,Junior,JavaScript,Low,10,4,0,26,1,10,False,0,True,6.2
Research,Low,Junior,Java,Low,3,4,5,36,12,9,False,0,True,6.2
Feature Dev,Low,Mid,JavaScript,Critical,4,9,1,17,11,13,True,0,True,6.1
Feature Dev,Medium,Senior,JavaScript,Low,3,1,4,26,13,15,False,1,False,8.5
Feature Dev,Medium,Senior,Python,Critical,9,9,2,8,12,13,True,2,False,4.0
Feature Dev,Low,Senior,Java,Critical,4,7,2,36,11,10,False,3,True,3.3
Research,High,Mid,Java,Critical,10,6,5,30,6,10,False,2,True,4.65
Research,Low,Mid,Python,Low,11,4,3,24,5,14,True,2,False,4.65
Research,Low,Mid,Java,Low,10,1,4,19,6,8,True,0,False,11.25
Research,Low,Junior,Python,Critical,9,4,5,11,9,8,False,0,False,6.2
Research,Low,Junior,JavaScript,Low,5,4,5,33,7,18,True,0,True,6.2
Bugfix,Medium,Junior,Java,Medium,12,10,1,34,14,14,False,3,True,9.0
Research,High,Junior,JavaScript,Medium,10,8,5,31,3,8,True,0,True,7.5
Feature Dev,High,Senior,JavaScript,Medium,3,8,4,6,1,9,True,1,True,3.6
Bugfix,Medium,Junior,Python,Critical,9,4,1,14,4,8,True,1,True,6.2
Bugfix,Medium,Junior,Java,Medium,11,5,4,26,5,12,True,3,True,6.0
Bugfix,Medium,Mid,Python,Low,6,7,1,9,3,11,False,0,True,5.05
Feature Dev,High,Junior,Java,Medium,5,10,1,14,1,11,False,1,False,9.0
Bugfix,Medium,Mid,Java,Medium,6,5,4,39,8,8,True,1,True,4.45
Bugfix,Medium,Junior,Java,Low,9,10,0,37,6,9,False,1,True,9.0
Feature Dev,Low,Mid,Java,Critical,3,2,1,34,4,12,True,3,True,7.35
Bugfix,Medium,Junior,Python,Medium,5,6,4,36,4,8,True,1,False,6.3
Research,High,Junior,Java,Low,2,5,0,8,5,17,True,3,False,6.0
Research,Medium,Mid,JavaScript,Low,9,4,1,8,7,11,False,2,False,4.65
Research,Low,Junior,JavaScript,Low,12,1,4,19,2,15,True,2,False,14.0
Feature Dev,High,Mid,Python,Medium,6,4,5,17,8,10,True,2,False,4.65
Feature Dev,Low,Senior,JavaScript,Medium,13,6,1,40,4,16,True,0,True,3.0
Bugfix,Medium,Senior,Java,Low,1,9,0,6,14,16,True,3,True,4.0
Research,Low,Junior,Python,Low,2,4,5,39,11,11,False,3,True,6.2
Research,Medium,Mid,JavaScript,Low,11,2,2,20,11,9,True,3,True,7.35
Feature Dev,High,Senior,JavaScript,Critical,7,1,2,26,7,18,True,0,False,8.5
Research,Medium,Junior,Python,Medium,5,10,3,21,5,18,True,0,True,9.0
Feature Dev,High,Junior,Java,Low,9,3,5,34,4,10,True,1,False,7.0
Feature Dev,Low,Mid,JavaScript,Critical,4,6,2,25,2,16,False,1,False,4.65
Research,Low,Senior,Python,Low,2,2,1,5,11,8,True,3,False,5.2
Bugfix,Medium,Senior,Python,Critical,12,2,2,37,4,13,False,1,False,5.2
Research,Low,Mid,JavaScript,Critical,4,5,3,7,1,14,False,0,True,4.45
Feature Dev,Medium,Mid,Java,Low,13,8,3,6,4,14,True,0,True,5.55
Bugfix,Medium,Senior,Java,Low,12,6,0,14,4,18,True,3,True,3.0
Research,Low,Junior,Python,Critical,1,1,4,27,10,14,False,2,True,14.0
Bugfix,High,Mid,JavaScript,Medium,4,6,1,11,7,16,True,2,False,4.65
Research,Medium,Mid,Java,Low,13,7,3,14,12,11,True,3,False,5.05
Bugfix,Medium,Mid,Python,Medium,2,9,5,24,1,17,False,0,False,6.1
Bugfix,Medium,Mid,JavaScript,Critical,4,2,0,33,6,18,True,1,False,7.35
Feature Dev,Low,Junior,JavaScript,Medium,1,7,1,14,1,15,False,1,False,6.8
Feature Dev,Low,Junior,JavaScript,Critical,9,5,5,21,5,13,True,1,False,6.0
Research,Medium,Junior,Java,Medium,5,3,2,38,3,9,True,1,False,7.0
Feature Dev,High,Senior,Java,Low,13,1,0,34,7,10,True,0,False,8.5
Bugfix,Medium,Mid,Python,Medium,10,5,0,19,1,16,True,1,True,4.45
Research,Medium,Junior,Python,Medium,2,9,4,25,10,13,False,3,False,8.2
Feature Dev,Medium,Senior,Java,Medium,9,8,5,26,14,12,False,3,True,3.6
Feature Dev,Medium,Mid,JavaScript,Medium,9,3,2,30,14,8,True,3,True,5.4
Research,Low,Mid,JavaScript,Critical,7,10,2,39,12,8,True,2,False,6.75
Bugfix,Medium,Senior,Java,Medium,5,8,4,24,6,18,True,2,True,3.6
Bugfix,Low,Junior,Python,Critical,5,7,2,28,14,9,False,0,True,6.8
Bugfix,Low,Junior,JavaScript,Low,5,2,1,10,4,9,True,1,False,9.5
Research,High,Mid,Python,Critical,12,6,0,19,12,10,True,0,True,4.65
Bugfix,Medium,Senior,JavaScript,Critical,12,1,4,11,5,9,True,0,True,8.5
Bugfix,Low,Mid,Java,Medium,7,8,1,29,5,10,True,3,False,5.55
Feature Dev,Low,Junior,Python,Critical,10,9,4,23,14,9,True,1,True,8.2
Feature Dev,High,Junior,Python,Low,10,1,2,26,13,18,False,1,False,14.0
Research,High,Mid,Java,Medium,6,9,1,35,7,12,True,3,False,6.1
Bugfix,High,Junior,Java,Medium,10,2,4,25,12,17,False,2,False,9.5
Research,Medium,Mid,JavaScript,Critical,4,4,5,26,5,10,False,1,False,4.65
Feature Dev,High,Junior,Java,Low,3,10,2,18,1,16,True,0,False,9.0
Research,Low,Mid,Python,Medium,2,3,4,29,12,9,True,0,False,5.4
Bugfix,Low,Senior,Java,Medium,7,9,4,11,6,8,False,2,False,4.0
Feature Dev,Low,Senior,Java,Critical,5,3,2,18,3,17,False,1,False,3.8
Feature Dev,Medium,Junior,Java,Critical,10,2,3,26,11,17,True,3,True,9.5
Bugfix,Low,Mid,JavaScript,Medium,7,3,3,24,12,14,True,2,False,5.4
Feature Dev,High,Junior,JavaScript,Low,6,2,4,7,10,10,False,2,True,9.5
Feature Dev,Low,Junior,Java,Low,2,7,2,24,1,8,False,0,False,6.8
Feature Dev,Low,Junior,JavaScript,Low,6,3,5,24,3,14,True,1,False,7.0
Research,Medium,Mid,Java,Low,3,7,2,23,7,8,True,0,False,5.05
Bugfix,Medium,Senior,Python,Medium,2,5,3,36,4,17,True,0,True,2.9
Research,Low,Mid,Java,Medium,6,9,4,37,11,15,False,2,True,6.1
Bugfix,Medium,Mid,Java,Critical,10,2,2,4,1,18,False,3,True,7.35
Bugfix,High,Mid,Python,Low,9,5,4,17,2,14,False,0,False,4.45
Research,Medium,Mid,Python,Low,4,10,4,30,14,18,False,0,True,6.75
Bugfix,Medium,Senior,JavaScript,Critical,13,7,0,12,8,18,True,3,True,3.3
Feature Dev,Low,Junior,Java,Critical,12,9,2,36,10,15,True,3,True,8.2
Feature Dev,High,Senior,Java,Medium,4,5,2,15,5,17,True,2,False,2.9
Research,Medium,Junior,Java,Low,12,8,0,35,5,9,True,1,False,7.5
Research,High,Junior,JavaScript,Low,4,8,0,20,8,17,True,2,True,7.5
Feature Dev,Low,Senior,Python,Low,8,5,1,30,13,13,False,3,False,2.9
Bugfix,Medium,Mid,Java,Critical,11,1,4,19,14,9,True,2,False,11.25
Feature Dev,High,Mid,Python,Critical,8,2,0,17,3,15,False,2,False,7.35
Research,Low,Junior,JavaScript,Low,8,4,3,40,14,15,True,1,True,6.2
Bugfix,Medium,Mid,Python,Low,9,8,4,4,11,11,True,3,False,5.55
Research,High,Senior,Java,Critical,5,5,3,24,4,12,False,0,True,2.9
Feature Dev,High,Junior,Python,Critical,6,6,1,37,14,18,False,0,True,6.3
Bugfix,Medium,Junior,Java,Critical,11,3,0,39,3,18,True,2,True,7.0
Research,High,Junior,Java,Medium,2,9,0,38,12,17,True,0,False,8.2
Bugfix,High,Mid,JavaScript,Medium,1,9,5,7,13,15,False,0,False,6.1
Feature Dev,High,Junior,JavaScript,Critical,2,3,1,14,12,13,False,0,True,7.0
Bugfix,Medium,Senior,Java,Low,5,9,4,36,1,13,True,1,True,4.0
Feature Dev,Low,Junior,Java,Critical,1,4,5,19,13,18,False,2,False,6.2
Feature Dev,Low,Senior,Python,Critical,7,4,3,16,8,12,False,1,True,3.1
Research,Low,Junior,JavaScript,Low,4,8,5,20,1,8,True,3,False,7.5
Research,High,Junior,Java,Medium,6,5,1,24,10,13,True,0,False,6.0
Feature Dev,High,Junior,JavaScript,Low,2,2,3,18,7,18,False,2,True,9.5
Research,Medium,Mid,JavaScript,Low,11,6,0,17,10,13,False,1,True,4.65
Feature Dev,Low,Junior,JavaScript,Medium,12,5,5,37,2,8,False,3,False,6.0
Bugfix,Medium,Senior,JavaScript,Critical,2,9,1,31,7,11,True,1,False,4.0
Research,Medium,Senior,Java,Critical,12,7,4,5,1,12,True,0,False,3.3
Feature Dev,High,Mid,Python,Medium,8,7,0,7,1,9,False,0,True,5.05
Bugfix,Medium,Mid,Python,Critical,1,2,2,16,8,11,True,1,True,7.35
Research,High,Mid,Java,Medium,7,9,0,19,11,8,True,2,False,6.1
Bugfix,Medium,Mid,Python,Medium,6,5,4,26,11,15,False,3,True,4.45
Bugfix,Low,Junior,JavaScript,Critical,6,8,3,13,9,8,True,1,True,7.5
Feature Dev,Medium,Senior,Python,Critical,8,4,5,24,2,17,True,0,False,3.1
Feature Dev,Medium,Junior,JavaScript,Critical,9,9,4,29,13,14,True,1,True,8.2
Research,Medium,Mid,JavaScript,Low,10,2,2,18,5,8,True,0,True,7.35
Bugfix,Medium,Mid,Python,Critical,13,5,1,34,5,16,False,0,True,4.45
Research,High,Junior,JavaScript,Critical,2,3,3,38,8,10,False,0,True,7.0
Research,Medium,Senior,Python,Medium,7,2,2,33,4,9,True,0,False,5.2
Research,Low,Senior,JavaScript,Medium,2,6,5,39,12,11,True,0,True,3.0
Research,Medium,Junior,JavaScript,Medium,4,8,2,24,11,16,True,1,False,7.5
Bugfix,Medium,Mid,JavaScript,Medium,10,7,3,29,10,13,True,1,True,5.05
Feature Dev,High,Senior,Python,Critical,10,7,1,27,9,13,True,1,False,3.3
Feature Dev,Low,Mid,Python,Low,1,4,1,37,14,8,True,1,False,4.65
Research,Low,Junior,JavaScript,Critical,12,8,1,38,10,14,True,2,True,7.5
Research,Medium,Junior,Python,Low,6,6,0,13,12,12,False,2,False,6.3
Bugfix,High,Mid,Python,Medium,3,6,3,30,7,16,False,3,False,4.65
Bugfix,Low,Junior,Python,Low,12,9,5,10,8,16,False,2,False,8.2
Feature Dev,High,Senior,Python,Critical,11,2,5,23,4,16,False,3,False,5.2
Bugfix,Medium,Senior,Python,Medium,13,7,1,25,5,9,False,1,False,3.3
Feature Dev,Medium,Junior,JavaScript,Medium,5,6,2,31,11,15,False,3,False,6.3
Feature Dev,High,Mid,JavaScript,Critical,3,10,5,24,7,16,False,2,True,6.75
Bugfix,Medium,Junior,Python,Critical,8,9,5,4,3,10,True,0,False,8.2
Bugfix,High,Junior,Java,Low,11,10,5,39,3,15,True,2,True,9.0
Bugfix,Low,Senior,Python,Low,13,7,4,6,6,15,True,0,False,3.3
Research,Medium,Junior,Java,Low,4,4,1,24,11,8,True,2,True,6.2
Bugfix,High,Senior,JavaScript,Low,8,6,2,15,8,10,True,2,True,3.0
Feature Dev,High,Mid,JavaScript,Low,1,6,4,6,13,15,False,1,True,4.65
Research,Medium,Senior,Java,Low,2,1,3,38,12,13,True,1,False,8.5
Research,Low,Senior,Java,Medium,6,3,4,8,1,15,False,2,True,3.8
Feature Dev,High,Junior,Java,Critical,4,7,0,16,1,13,True,2,False,6.8
Feature Dev,High,Senior,Python,Low,13,6,5,39,2,18,False,1,True,3.0
Bugfix,Low,Mid,Java,Medium,9,1,0,38,12,18,True,3,False,11.25
Feature Dev,Medium,Junior,JavaScript,Medium,8,7,0,39,9,13,False,2,False,6.8
Research,Medium,Mid,JavaScript,Medium,1,8,3,36,2,16,False,3,True,5.55
Bugfix,Medium,Senior,JavaScript,Critical,6,4,1,26,8,16,False,2,True,3.1
Bugfix,Medium,Junior,Python,Medium,12,8,4,28,8,9,False,2,False,7.5
Bugfix,High,Senior,Python,Low,13,5,0,18,4,17,False,3,True,2.9
Bugfix,Medium,Senior,Python,Medium,7,3,4,29,1,14,False,0,True,3.8
Research,Medium,Junior,Java,Medium,12,5,3,28,11,16,False,2,False,6.0
Bugfix,High,Junior,Python,Medium,6,7,4,40,12,8,True,0,True,6.8
Feature Dev,Low,Mid,JavaScript,Medium,13,4,0,24,12,10,True,1,True,4.65
Bugfix,High,Senior,Python,Low,4,5,5,21,2,17,False,3,False,2.9
Bugfix,High,Mid,Python,Critical,2,1,5,8,5,18,True,1,False,11.25
Bugfix,High,Junior,Java,Low,1,3,5,10,10,17,False,2,True,7.0
Research,High,Junior,JavaScript,Low,9,7,4,7,4,12,False,1,True,6.8
Feature Dev,Medium,Mid,Java,Low,7,8,5,15,5,15,False,3,True,5.55
Bugfix,Low,Senior,Python,Critical,3,7,5,24,8,9,False,3,False,3.3
Research,Low,Senior,Java,Medium,12,2,4,6,7,8,True,0,False,5.2
Research,High,Mid,JavaScript,Low,10,5,2,11,10,16,False,0,False,4.45
Feature Dev,Medium,Senior,Java,Low,2,4,0,17,3,9,True,1,True,3.1
Research,Low,Junior,Python,Medium,12,9,0,21,3,12,False,1,True,8.2
Research,High,Senior,Python,Medium,13,1,2,36,4,8,True,2,True,8.5
Research,Low,Senior,Python,Medium,6,2,4,13,12,16,False,0,True,5.2
Feature Dev,High,Senior,Java,Critical,9,10,4,13,13,11,True,3,True,4.5
Research,Low,Junior,Python,Low,4,5,5,36,12,15,True,1,True,6.0
Research,High,Senior,Java,Low,4,3,0,19,13,8,False,0,True,3.8
Feature Dev,Low,Mid,JavaScript,Critical,11,10,4,40,2,17,False,0,True,6.75
Research,Low,Junior,Java,Critical,3,1,3,17,7,11,False,0,False,14.0
Bugfix,Low,Junior,Java,Low,5,1,4,25,14,9,False,0,False,14.0
Bugfix,High,Junior,JavaScript,Medium,10,7,2,22,14,9,True,2,False,6.8
Research,Low,Senior,JavaScript,Critical,7,8,0,26,1,15,False,2,False,3.6
Research,Medium,Junior,Python,Critical,3,6,4,11,13,17,True,3,False,6.3
Feature Dev,Medium,Mid,Python,Low,1,1,3,11,4,14,True,3,False,11.25
Research,Medium,Mid,Python,Low,9,9,3,36,4,17,True,1,True,6.1
Feature Dev,Medium,Junior,JavaScript,Medium,12,6,2,20,3,18,True,2,False,6.3
Bugfix,High,Mid,Python,Medium,13,3,0,36,12,13,True,0,True,5.4
Research,High,Junior,Python,Low,12,3,0,7,5,17,False,0,True,7.0
Feature Dev,Low,Senior,JavaScript,Medium,10,10,2,13,8,13,True,1,True,4.5
Bugfix,High,Junior,Java,Low,8,6,0,39,11,13,False,0,True,6.3
Research,High,Senior,Python,Medium,6,3,4,38,3,16,True,0,False,3.8
Research,Low,Mid,JavaScript,Critical,1,5,2,25,5,11,True,2,True,4.45
Feature Dev,Medium,Senior,Python,Low,13,2,2,5,8,13,True,2,False,5.2
Feature Dev,Medium,Senior,JavaScript,Low,9,3,4,26,10,13,False,1,False,3.8
Feature Dev,Low,Junior,JavaScript,Low,1,4,0,4,11,13,True,1,True,6.2
Feature Dev,High,Senior,Java,Low,5,2,4,11,13,10,True,3,False,5.2
Feature Dev,Low,Mid,JavaScript,Medium,11,7,1,29,14,12,False,1,True,5.05
Bugfix,Medium,Senior,JavaScript,Critical,8,3,5,25,4,9,False,1,True,3.8
Feature Dev,High,Mid,Python,Critical,8,9,3,31,5,17,True,3,False,6.1
Bugfix,Medium,Senior,Python,Low,6,8,0,26,4,11,True,1,True,3.6
Research,Medium,Junior,Java,Critical,6,4,1,13,8,13,False,2,False,6.2
Bugfix,Low,Mid,JavaScript,Low,7,7,5,32,6,13,False,2,False,5.05
Research,Low,Mid,JavaScript,Critical,4,5,5,17,11,9,False,2,False,4.45
Research,Medium,Mid,Java,Medium,8,10,2,27,1,14,False,0,True,6.75
Feature Dev,Low,Mid,Python,Low,6,3,1,29,7,17,True,3,False,5.4
Feature Dev,Low,Mid,JavaScript,Critical,6,9,2,12,11,8,True,0,True,6.1
Research,High,Mid,Python,Low,2,1,4,20,7,15,True,3,True,11.25
Bugfix,Low,Senior,Java,Critical,6,9,5,23,2,8,True,2,True,4.0
Feature Dev,High,Mid,JavaScript,Low,3,1,4,13,1,11,False,1,False,11.25
Bugfix,High,Mid,Python,Low,1,6,1,20,2,14,True,1,False,4.65
Bugfix,Low,Senior,JavaScript,Low,9,10,5,24,12,9,False,0,True,4.5
Feature Dev,Medium,Mid,Java,Critical,12,8,4,16,7,10,True,0,True,5.55
Research,Low,Junior,Python,Critical,7,6,4,10,1,18,False,3,True,6.3
Bugfix,High,Senior,Java,Critical,13,8,2,13,4,10,False,3,False,3.6
Feature Dev,Medium,Junior,Java,Low,5,6,3,30,4,14,True,2,True,6.3
Feature Dev,Medium,Senior,Java,Low,1,5,4,18,2,18,False,3,False,2.9
Feature Dev,Medium,Junior,Java,Low,2,10,2,9,14,11,True,1,False,9.0
Feature Dev,Low,Senior,Java,Critical,3,9,1,29,11,17,False,2,False,4.0
Bugfix,Low,Senior,JavaScript,Medium,4,1,4,37,1,15,False,0,True,8.5
Bugfix,High,Junior,Java,Medium,13,8,2,30,5,18,True,0,False,7.5
Research,High,Junior,JavaScript,Critical,12,7,1,6,12,12,False,3,True,6.8
Bugfix,High,Mid,JavaScript,Medium,4,9,3,18,5,14,True,2,False,6.1
Research,Medium,Mid,Java,Critical,6,10,5,9,6,8,True,2,False,6.75
Feature Dev,Medium,Junior,Java,Critical,8,7,1,29,5,13,False,0,False,6.8
Research,Low,Mid,Java,Critical,7,10,2,35,8,15,False,1,False,6.75
Feature Dev,High,Mid,Java,Low,5,9,0,26,7,13,False,2,False,6.1
Bugfix,Medium,Senior,Java,Critical,11,5,0,22,10,11,True,1,True,2.9
Feature Dev,Low,Junior,Python,Low,11,10,3,8,3,10,False,1,True,9.0
Research,High,Mid,Java,Low,11,1,0,24,4,16,False,0,False,11.25
Bugfix,Medium,Junior,JavaScript,Medium,8,2,3,33,3,12,False,3,False,9.5
Feature Dev,Medium,Senior,Java,Critical,2,7,3,32,13,10,False,3,False,3.3
Feature Dev,Low,Mid,Python,Low,13,7,3,32,9,12,False,2,False,5.05
Feature Dev,Low,Senior,Python,Low,9,4,3,26,14,10,False,2,True,3.1
Research,Medium,Mid,Python,Low,12,9,2,9,13,15,False,1,True,6.1
Feature Dev,High,Senior,JavaScript,Low,13,5,2,29,10,14,True,2,False,2.9
Research,Medium,Junior,JavaScript,Low,4,3,4,13,1,8,True,0,True,7.0
Bugfix,High,Junior,JavaScript,Critical,4,6,3,30,13,12,False,0,True,6.3
Research,Medium,Junior,JavaScript,Medium,5,6,1,16,2,13,False,3,False,6.3
Research,Medium,Senior,JavaScript,Critical,12,9,0,8,11,9,False,2,False,4.0
Research,High,Mid,Python,Medium,13,10,2,35,7,14,True,2,False,6.75
Bugfix,Low,Senior,JavaScript,Medium,5,1,0,22,3,17,True,0,True,8.5
Research,Low,Senior,JavaScript,Low,13,3,4,8,10,9,False,3,False,3.8
Bugfix,High,Senior,Python,Critical,2,3,3,32,4,9,False,0,False,3.8
Feature Dev,Low,Mid,Java,Critical,7,9,0,7,3,10,False,0,False,6.1
Feature Dev,Medium,Mid,Python,Medium,9,2,0,4,9,15,True,1,True,7.35
Bugfix,Medium,Junior,JavaScript,Critical,11,3,2,4,12,13,True,1,True,7.0
